wav_filename,length,transcript
extracted/M_33_18/02-m_33_18.wav,525356,  riva un bambino con in mano un palloncino e una busta piena di salsiccia
extracted/M_10_17/01-m_10_17.wav,497708,   cane voleva mangiare il topo
extracted/Y_9_18/5-y_9_18.wav,921644,  i il cane sbatte contro l' albero e il topo va  scappa e il palloncino vola via
extracted/M_36_17/6-m_36_17.wav,709676,   bambino fece un balzo e riusca a prendere il palloncino e il cane riusca amangiare  a buttare gia il sacchetto x in cui c' erano
extracted/Y_26_19/11-y_26_19.wav,513836,  poi il bambino era felice di tenere le salsicce in mano
extracted/Y_8_18/1-y_8_18.wav,827180,  e  che il cane voleva prendere il topo allora fa il salto
extracted/Y_18_19/7-y_18_19.wav,707372,   bambino fortunatamente riusc  con un balzo riusca a riprendere il pallone
extracted/M_23_18/2-m_23_18.wav,633644,  petta non sento
extracted/M_43_17/3-m_43_17.wav,1175084,   cane cerca 
extracted/M_27_18/11-m_27_18.wav,778796,  praticamenteilpallon  e il bambino vuole riprendere il palloncino
extracted/Y_30_19/01-y_30_19.wav,513836,   era una volta un cane giocherellone che vide un topo seduto
extracted/M_48_17/6-m_48_17.wav,822572,   bambino intanto cercava di prendere il palloncino
extracted/M_23_17/04-m_23_17.wav,301868,  sa
extracted/Y_31_19/6-y_31_19.wav,792620,  i il palloncino si era incastrato nell' albero e quindi decise di riprenderlo
extracted/Y_3_19/6-y_3_19.wav,963116,  mentre che il bambino recupera il palloncino il cane mangia le salsicce
extracted/Y_24_17/10-y_24_17.wav,875564,  il bambino era felice di riavere il palloncino
extracted/Y_1_19/5-y_1_19.wav,930860,  ando il bambino ha preso il palloncino il cane stava mangiando le salsicce
extracted/M_30_18/16-m_30_18.wav,500012,  il cane intanto mangia le salcicce e fu molto sodd  soddisfatto
extracted/M_26_18/02-m_26_18.wav,718892,   era un bambino che tornava dalla spesa con il sacchetto con le sal  salsicce e il palloncino in mano
extracted/M_25_18/05-m_25_18.wav,405548,   si si
extracted/Y_8_19/3-y_8_19.wav,605996,  i il palloncino gli a finito nell' albero
extracted/M_25_18/09-m_25_18.wav,405548,   andato automaticamente
extracted/Y_12_19/8-y_12_19.wav,536876,   cane stava per mangiare tutte le salsicce
extracted/M_33_17/09-m_33_17.wav,665900,  i 
extracted/M_44_17/4-m_44_17.wav,974636,   ragazzo spaventato perse il palloncino e anda a provare a recuperarlo
extracted/M_21_18/6-m_21_18.wav,665900,  i per  ha deciso di farsela prendere ha lasciato le salsicce e il cane vuole prenderle
extracted/Y_4_18/09-y_4_18.wav,1043756,  riva un bambino si impaura di quello che avevano fatto e livol  non  non sente pia di stringere il suo palloncino
extracted/Y_7_19/10-y_7_19.wav,594476,   bambino si  era spaventato
extracted/M_19_17/08-m_19_17.wav,612908,   palloncino pera si  si era appeso all' albero e il bambino aveva mollato la la sua sacca con dentro le salsicce
extracted/Y_14_18/04-y_14_18.wav,594476,  tanto un bambino stava passeggiando sulla via e ilpall  il bambino aveva un palloncino e un sacchetto di salsicce
extracted/Y_5_18/5-y_5_18.wav,1043756,   cane vide il  il sacchetto di salsicce ecosa  e cosa lopr  loprese  lo prese e alla fine il bambino recupera il
extracted/Y_2_19/4-y_2_19.wav,1004588,  i ilca  il bambino divenne molto triste e il cane felice percha aveva visto quel sacchetto di salsicce
extracted/Y_5_17/2-y_5_17.wav,263852,  ra a arrivato un bambino che aveva fatto la spesa con le salcicce e aveva visto il cane che voleva prendere il topo
extracted/Y_18_19/5-y_18_19.wav,707372,  cane  il bambino cerca di riprenderlo
extracted/Y_26_17/5-y_26_17.wav,658988,  po il palloncino fa un salto per prender 
extracted/M_20_17/1-m_20_17.wav,746540,   cane ha visto un topo e cerca di raggiungerlo
extracted/Y_2_17/1-y_2_17.wav,286892,   a un cane che aveva visto un topo e voleva prenderlo
extracted/M_28_18/01-m_28_18.wav,357164,   era una volta un cane giocherellone che vide un topo seduto vicino all' albero e decise di prenderlo
extracted/Y_27_19/4-y_27_19.wav,619820,   cane non riusca a prendere il topo e batta la testa sopra il tronco
extracted/Y_10_19/2-y_10_19.wav,497708,  po entra nell' albero ma il topo era gia scappato
extracted/M_18_18/1-m_18_18.wav,1129004,  avoltac'era  c' era una volta un cane che ha visto un topo e che era vicino a un albero e l' ha rincorso
extracted/Y_29_19/7-y_29_19.wav,1011500,  mentre cercava di riprenderlo il cane vide la borsa con le salsicce quindi anda a prenderla
extracted/M_32_18/08-m_32_18.wav,831788,  oa vicin  l' ha lasciata per terra
extracted/M_27_18/06-m_27_18.wav,778796,  qua  e percia il topolino riusca a scappare
extracted/M_11_17/9-m_11_17.wav,709676,  ntre il cane siman  mangia le suo salsicce che ha lasciato
extracted/Y_2_17/5-y_2_17.wav,286892,  dopo il bambino voleva prendere il palloncino
extracted/M_17_17/1-m_17_17.wav,1018412,   cane visse un topo e seduto vicino a un albero
extracted/Y_28_19/1-y_28_19.wav,483884,  lora il cane voleva prendere il topo pera il topo a scappato via e il cane a sbattuto contro l' albero
extracted/M_23_17/09-m_23_17.wav,301868,  poi pera dopo voleva prendere il palloncino
extracted/Y_11_19/11-y_11_19.wav,532268,  ntre stava prendendo il palloncino il cane si avvicina alla borsa piena di salsicce
extracted/Y_11_18/1-y_11_18.wav,760364,   era una volta un cane che stava passeggiando nel parco e vide un topolino vicino a un albero
extracted/M_35_18/4-m_35_18.wav,571436,   cane fu troppo lento a prendere il topo e quindi si fece male
extracted/Y_24_17/03-y_24_17.wav,875564,  po arriva il bambino conilsacche  che aveva appena fatto la spesa e aveva dentro il sacchetto delle salsicce e anche un
extracted/Y_31_19/1-y_31_19.wav,790316,   era una volta un cane molto giocherellone che aveva visto un topo seduto vicino a un albero
extracted/M_28_18/09-m_28_18.wav,357164,   si
extracted/M_21_17/9-m_21_17.wav,592172,  ha lo preso e ritorna indietro dal sacchetto
extracted/M_27_18/04-m_27_18.wav,778796,  vide questo cane con questo topolino
extracted/M_27_18/12-m_27_18.wav,778796,  lora per riprenderlo appoggia un attimo le salsicce e con un salto riesce ad afferrare il palloncino
extracted/M_20_17/3-m_20_17.wav,746540,  tanto c' era anche un bambino con delle salsicce e un palloncino blu
extracted/Y_14_19/04-y_14_19.wav,905516,   topo si aveva nascosto pera il bambino disse oh no il mio palloncino a sull' albero
extracted/M_25_18/08-m_25_18.wav,405548,  i 
extracted/M_33_17/10-m_33_17.wav,665900,   bambino ora a felice pera il cane ha gia preso le salsicce e le sta mangiando tutte
extracted/Y_7_19/05-y_7_19.wav,594476,  n lo prese
extracted/M_23_18/2-m_23_18.wav,633644,  petta non sento
extracted/M_49_17/9-m_49_17.wav,592172,   bambino era molto felice di avere ripreso il suo palloncino pera aveva perso le sue salcicce
extracted/M_37_17/08-m_37_17.wav,516140,  scia la busta per terra e fa un grande salto
extracted/Y_30_19/02-y_30_19.wav,516140,   no no qui non a a tempo eh vai sto solo registrando
extracted/Y_30_19/10-y_30_19.wav,516140,   bambino a felice di stringere il suo palloncino e il cane a soddisfatto percha le salsicce erano molto salsicciose
extracted/Y_11_18/2-y_11_18.wav,760364,  indi lui lo rincorse pera il topolino era pia veloce quindi scappa
extracted/Y_27_19/7-y_27_19.wav,619820,   intanto il cane stava mangiando le sue salsicce molto ghiottamente
extracted/M_11_17/7-m_11_17.wav,709676,  poi decise il bambino di riprenderlo
extracted/M_32_18/04-m_32_18.wav,831788,  il bambino che ha visto che il cane era vicino al topo ha  cioa voleva  voleva che aspetta  cioa non voleva che il cane
extracted/M_59_17/11-m_59_17.wav,548396,   tira fuori e se le mangia ghiottamente
extracted/M_36_17/7-m_36_17.wav,709676,   bambino riusca a prendere il palloncino e il cane si mangia le salsicce
extracted/M_37_17/03-m_37_17.wav,516140,   cagnolino a troppo 
extracted/M_20_17/2-m_20_17.wav,746540,   cane era troppo lento quindi non riesce a prenderlo
extracted/M_37_18/3-m_37_18.wav,665900,  ando  epoi  quandoilbamb  ilbam  quando il bambino vide il cane e non riusca a prendere il topo percha anda
extracted/M_32_18/01-m_32_18.wav,831788,  un giorno c' era un cane giocherellone che era 
extracted/M_7_17/2-m_7_17.wav,610604,  i fa un salto e non lo riesce a prendere
extracted/Y_5_17/1-y_5_17.wav,263852,  e c' era un cane e c' era un topo x l' ha veduto e il cane voleva prenderlo
extracted/Y_25_19/4-y_25_19.wav,808748,   cane dopo essersi ripreso anda dal  al sacchetto delle salsicce e se le mangia tutte
extracted/M_37_18/2-m_37_18.wav,665900,   assalta per prenderlo e intanto un bambino stava passando con un palloncino in mano e una borsa piena di salsicce
extracted/M_23_17/09-m_23_17.wav,301868,  poi pera dopo voleva prendere il palloncino
extracted/Y_26_17/1-y_26_17.wav,658988,   cane x prendere il topo e poi salta per prenderlo pera dopo picchia la testa 
extracted/M_14_17/1-m_14_17.wav,797228,  lora c' era un cane giocherellone che aveva visto un topo seduto vicino all' albero e lo voleva prendere
extracted/M_34_18/10-m_34_18.wav,619820,  quando il bambino aveva preso il  il palloncino le salsicce non c' erano
extracted/Y_30_19/09-y_30_19.wav,516140,   bambino fa un salto per prendere il palloncino e intanto il cane inizia a mangiare le salsicce
extracted/M_35_17/2-m_35_17.wav,555308,   era una volta un cane che stava inseguendo un topo
extracted/Y_5_17/4-y_5_17.wav,263852,  x prese il topo voleva prenderlo
extracted/Y_14_19/02-y_14_19.wav,905516,   topo si nascose nell' albero ma poi il cane salta e anda sull' albero
extracted/M_21_18/3-m_21_18.wav,665900,  e a successo
extracted/Y_1_19/2-y_1_19.wav,930860,  poi ha fatto un balzo mentre il topo stava andando sotto l' albero e anche il ragazzo si  era tornato dalla spesa con un
extracted/Y_14_19/03-y_14_19.wav,905516,  i c' era un ragazzino ma il cane si era fatto male
extracted/Y_7_19/09-y_7_19.wav,594476,  atte contro l' albero e riusca a prenderlo
extracted/M_30_18/16-m_30_18.wav,500012,  il cane intanto mangia le salcicce e fu molto sodd  soddisfatto
extracted/M_35_17/5-m_35_17.wav,555308,   bambino per lo spavento lascia andare il palloncino e lo volle riprendere
extracted/Y_27_19/1-y_27_19.wav,617516,   giorno un cane vide un topo seduto vicino a un albero e decise di rincorrerlo
extracted/M_46_17/01-m_46_17.wav,893996,   giorno c' a il  un cane ha visto un topo
extracted/M_19_17/10-m_19_17.wav,612908,  quindi mette un piede su un pezzo di  di un ramo rotto e lo prende
extracted/M_30_18/15-m_30_18.wav,500012,   vai avanti
extracted/Y_7_18/01-y_7_18.wav,605996,   giorno c' era un cane e un topo che il cane voleva prendere il topo
extracted/M_32_18/04-m_32_18.wav,831788,  il bambino che ha visto che il cane era vicino al topo ha  cioa voleva  voleva che aspetta  cioa non voleva che il cane
extracted/M_23_17/04-m_23_17.wav,301868,  sa
extracted/M_17_18/09-m_17_18.wav,762668,   bambino fece un salto e  ef  e il cane prese le salcicce e poi il bambino riusca a prendere il suo palloncino e fu
extracted/Y_18_19/3-y_18_19.wav,707372,  topo  il topo fortunatamente riusca a scappare eilcane  e il cane batta la testa sull' albero
extracted/Y_7_18/10-y_7_18.wav,605996,  i arrivato che hai detto che il ragazzo voleva riprendere il palloncino
extracted/Y_10_19/1-y_10_19.wav,497708,   era un topo seduto vicino a un albero e il cane l' ha cercato di prendere con un grande salto
extracted/M_14_17/2-m_14_17.wav,797228,  i fece un gran salto e voleva raggiungere il topo per prenderlo
extracted/Y_50_17/3-y_50_17.wav,900908,   a un certo punto il bambino vede questa scena si  si spaventa e il suo palloncino vola
extracted/M_8_17/07-m_8_17.wav,523052,   bambino si spaventa gli vola via il palloncino
extracted/M_27_18/02-m_27_18.wav,778796,  il cane volle prenderlo e quindi balza per prenderlo
extracted/M_44_17/2-m_44_17.wav,974636,   visto un topo fece per saltare per prenderlo ma nel frattempo passava un ragazzo con un palloncino tornato dal supermercato
extracted/M_15_17/08-m_15_17.wav,619820,  ragazzi  il ragazzino cerca di prendere il palloncino e ce la face
extracted/Y_3_18/3-y_3_18.wav,921644,   cane si fece male
extracted/M_44_17/1-m_44_17.wav,974636,  e un giorno c' era un cane molto giocherellone
extracted/M_10_17/01-m_10_17.wav,497708,   cane voleva mangiare il topo
extracted/Y_13_19/4-y_13_19.wav,836396,  dopo lui ha detto oh no era dispiaciuto il cane 
extracted/Y_12_19/2-y_12_19.wav,536876,   topo si a infilato dentro al  all' albero
extracted/M_46_17/08-m_46_17.wav,893996,  allora il cane vede la sua borsa della spesa con dentro le salsicce
extracted/Y_7_19/13-y_7_19.wav,594476,   bambino prova a saltare per prenderle il palloncino ma il cane mangia in un sol x le salsicce
extracted/Y_27_19/1-y_27_19.wav,617516,   giorno un cane vide un topo seduto vicino a un albero e decise di rincorrerlo
extracted/M_17_17/7-m_17_17.wav,1018412,  poi 
extracted/Y_15_18/4-y_15_18.wav,1011500,  ra fu pia veloce il topo che si rifugia dentro l' albero e il cane anda contro l' albero e si fece male
extracted/Y_31_19/4-y_31_19.wav,792620,   cane non fece in tempo per prendere il topo percha scappa via e ha sbattuto la testa contro l' albero e si a fatto male
extracted/Y_26_19/02-y_26_19.wav,513836,  intanto stava passando di la un bambino che aveva appena fatto la spesa e c'era  aveva un sacchetto con le
extracted/M_21_17/3-m_21_17.wav,592172,  rna dalla spesa con un sacchetto di salsicce e un palloncino in mano
extracted/M_27_18/09-m_27_18.wav,778796,  questa botta fa spaventare il bambino che lascia il palloncino
extracted/M_10_17/07-m_10_17.wav,497708,   bambino s'a  x  ha preso il palloncino
extracted/Y_5_17/5-y_5_17.wav,263852,  il cane aveva visto il sacchetto di salcicce
extracted/Y_24_17/08-y_24_17.wav,875564,  alla fine il bambino lo aveva ricuperato
extracted/Y_2_18/1-y_2_18.wav,794924,  e c' era un topo e un cane
extracted/Y_31_17/8-y_31_17.wav,571436,  ando il bambino fece un salto per prendere il palloncino il cane le stava per mangiare
extracted/Y_25_19/5-y_25_19.wav,808748,  ntre il ragazzo riprese il palloncino
extracted/M_7_17/3-m_7_17.wav,610604,  i  poi si va a schiantare contro l' albero e il topolino riesce a scappare
extracted/Y_14_19/01-y_14_19.wav,905516,   era una volta un cane che voleva rapire un topo
extracted/M_49_17/5-m_49_17.wav,592172,  vide il cane che si era fatto male
extracted/M_28_18/21-m_28_18.wav,357164,   era soddisfatto
extracted/M_29_18/03-m_29_18.wav,495404,  i il  il cane cerca di prendere il topo ma c' era l' albero con un buchino e il cane 
extracted/Y_32_19/1-y_32_19.wav,642860,   giorno un cane giocherellone vide un topo seduto vicino all' albero
extracted/M_37_17/08-m_37_17.wav,516140,  scia la busta per terra e fa un grande salto
extracted/M_34_17/08-m_34_17.wav,516140,  po mentre voleva prendere il palloncino il cane vise le salsicce
extracted/M_21_18/5-m_21_18.wav,665900,  i il bambino si a spaventato e il palloncino a volato sull' albero
extracted/Y_8_19/4-y_8_19.wav,605996,  poi il bambino stava per prenderlo
extracted/M_23_18/7-m_23_18.wav,633644,  cise di prenderlo e il cane intanto veda  le vedra le sue salsicce le prenda e se le mangia tutte
extracted/Y_13_18/5-y_13_18.wav,649772,  lora il bambino decise di prenderlo ma lascia la borsa delle salsicce sulla strada vicino al cane
extracted/Y_26_17/4-y_26_17.wav,658988,  i il cane vede le salsicce e lo vuole mangiare
extracted/M_36_18/3-m_36_18.wav,610604,  lora il cane prova a prendere il topo ma il topo era troppo veloce allora il cane anda a sbattere contro un albero
extracted/Y_11_19/13-y_11_19.wav,532268,   poi
extracted/M_46_17/11-m_46_17.wav,893996,    il bambino ha preso il suo palloncino ma il cane ha deciso di mangiarsi le salsicce ed a soddisfatto
extracted/Y_7_18/04-y_7_18.wav,605996,   bambino si spaventa quando il cane si fava male eli  e gli vola ilpalloncino  il palloncino
extracted/M_27_18/03-m_27_18.wav,778796,  intanto c' era un bambino che portava delle salsicce e un palloncino allegro che tornava a casa
extracted/M_22_18/09-m_22_18.wav,679724,   topo a scappato
extracted/M_17_17/5-m_17_17.wav,1018412,  i  poi  poi cade 
extracted/Y_24_17/02-y_24_17.wav,875564,  ra il topo riusca a scappare e quindi il cane sbatta contro il tronco
extracted/Y_50_17/1-y_50_17.wav,900908,  rla di  di un cane che vede un topolino e  ese  e se lo vuole mangiare
extracted/Y_7_19/13-y_7_19.wav,594476,   bambino prova a saltare per prenderle il palloncino ma il cane mangia in un sol x le salsicce
extracted/M_23_17/11-m_23_17.wav,301868,   p 
extracted/Y_11_18/7-y_11_18.wav,760364,  intanto il cane aveva visto le salsicce e quindi voleva mangiarsele
extracted/M_16_17/01-m_16_17.wav,778796,   era una volta un cane che ha visto un topo seduto vicino a un albero
extracted/Y_27_17/09-y_27_17.wav,555308,  ra il cane nella sua testa disse cheb  chebuonequelles  che buone quelle salsicce e 
extracted/Y_6_19/2-y_6_19.wav,1481516,  fece un balzo per prenderlo esbattalate  e sbatta la testa dentrocioa  sopral'albero  sull' albero
extracted/M_17_18/04-m_17_18.wav,762668,  i il  il topo scappa via e il cane doun  ad 
extracted/Y_31_19/2-y_31_19.wav,792620,  ceunsaltoperprendereiltopo  fece un salto percha voleva prendere il topo
extracted/Y_24_17/01-y_24_17.wav,875564,   giorno un cane vide un topo che voleva prenderlo
extracted/M_32_18/06-m_32_18.wav,831788,  il bambino visto che era spaventato ha lasciato il palloncino che a andato su un albero
extracted/Y_27_17/07-y_27_17.wav,555308,  il palloncino del bambino anda sull' albero
extracted/Y_32_19/3-y_32_19.wav,642860,  indi prese un albero
extracted/M_34_17/05-m_34_17.wav,516140,   bambino s' a pre 
extracted/Y_6_19/4-y_6_19.wav,1481516,  chia  il cane furbo pensa cheil  chequellesalsicceeranomoltodeli  che quelle salsicce
extracted/M_19_17/11-m_19_17.wav,612908,  i era felice ma il cane intanto mangiava le salsicce
extracted/M_28_18/16-m_28_18.wav,357164,  salsi  e invece il cane nota le salsicce
extracted/M_16_18/05-m_16_18.wav,541484,  diamo avanti
extracted/M_59_17/06-m_59_17.wav,548396,   bambino allegro si spaventa e il palloncino vola via
extracted/Y_4_19/05-y_4_19.wav,963116,  il bambino si spaventa e il suo palloncino vola via
extracted/Y_1_19/5-y_1_19.wav,930860,  ando il bambino ha preso il palloncino il cane stava mangiando le salsicce
extracted/Y_14_19/10-y_14_19.wav,905516,  il cane fosse felice percha ha mangiato le salsicce
extracted/Y_14_19/06-y_14_19.wav,905516,   cane veda le salsicce e pensa che erano buone quindi le voleva mangiare
extracted/Y_25_19/2-y_25_19.wav,808748,  ra il topo fu pia veloce del cane quindi il cane anda a sbattere contro l' albero
extracted/M_37_17/04-m_37_17.wav,516140,  oa il topolino a troppo veloce e quindi non riesce a prenderlo
extracted/M_34_17/07-m_34_17.wav,516140,   prese un colpo e lascia andare il palloncino sull' albero
extracted/M_10_17/04-m_10_17.wav,497708,   cane ha sbattuto la testa
extracted/Y_7_18/07-y_7_18.wav,605996,  petta aspetta che passano poi riprensiamo
extracted/Y_50_17/3-y_50_17.wav,900908,   a un certo punto il bambino vede questa scena si  si spaventa e il suo palloncino vola
extracted/M_30_18/13-m_30_18.wav,500012,   bambino se lo riprese
extracted/M_28_18/08-m_28_18.wav,357164,  atte
extracted/Y_26_19/13-y_26_19.wav,513836,  oanonle salsicce  il palloncino
extracted/Y_30_19/02-y_30_19.wav,516140,   no no qui non a a tempo eh vai sto solo registrando
extracted/M_43_17/3-m_43_17.wav,1175084,   cane cerca 
extracted/Y_7_19/08-y_7_19.wav,594476,  sa succede hai detto che il cane fa un salto non lo prese e poi
extracted/Y_7_19/04-y_7_19.wav,594476,  ce un salto
extracted/M_19_18/3-m_19_18.wav,596780,  il bambino che a preoccupato eleavev  e il palloncino gli a scappato dalla mano
extracted/Y_2_17/3-y_2_17.wav,286892,  i cosa succede
extracted/Y_3_19/6-y_3_19.wav,963116,  mentre che il bambino recupera il palloncino il cane mangia le salsicce
extracted/Y_8_18/2-y_8_18.wav,827180,  c' era un bambino conil  che stava andando a far la spesa con un palloncino
extracted/Y_10_19/4-y_10_19.wav,497708,   bimbo ha visto e gli a uscito il palloncino dalla mano e gli a andato sull' albero quindi cerca di riprenderlo
extracted/Y_11_19/02-y_11_19.wav,532268,  i un cane giocherellone anda vicino
extracted/M_12_17/10-m_12_17.wav,661292,  sto il bambino che ha saltato ha preso il palloncino
extracted/Y_27_19/3-y_27_19.wav,619820,  tato dietro un ragazzo stava arrivando con delle salsicce in mano e un palloncino
extracted/M_42_17/4-m_42_17.wav,1163564,  i il bambino si spaventa e quindi fa volare il palloncino intanto che il cane ha sbattuto la testa contro il tronco dell'albero
extracted/M_10_17/10-m_10_17.wav,497708,  a  s' a mangiato le  salcicce
